experiment_family,experiment_name,crop,horizon_days,validation_rows,validation_start,validation_end,mae,rmse,r2,mape_pct,wape_pct,source_file,note
existing_graph_reference,tomato_radius_10km_delta_roll28_existing,tomato,15,75,2025-10-03,2025-12-31,763.443359375,1129.9419232863254,0.3913552761077881,,22.938173294067383,newtests/targeted_rebuild/results/gat_gru_radius_refine/tomato__radius_10km/graph_training_summary.json,Reused existing tighter-radius tomato graph result.
existing_graph_reference,tomato_radius_25km_delta_roll28_existing,tomato,15,75,2025-10-03,2025-12-31,763.4453735351562,1129.9459057848742,0.39135098457336426,,22.938234329223633,newtests/targeted_rebuild/results/gat_gru_radius_refine/tomato__radius_25km/graph_training_summary.json,Reused existing tighter-radius tomato graph result.
existing_graph_reference,wheat_best_existing_graph_reference,wheat,15,18,2025-09-02,2025-11-30,39.05100631713867,61.84733440850543,0.7025546431541443,,1.5429619550704956,newtests/targeted_rebuild/results/gat_gru_ablations/ablation_summary.csv,Existing wheat graph ablation winner before new refinement run.
