crop,State,District,mandis
tomato,Haryana,Faridabad,1
tomato,Maharashtra,Amarawati,1
tomato,Maharashtra,Chattrapati Sambhajinagar,1
tomato,Maharashtra,Kolhapur,1
tomato,Maharashtra,Mumbai,1
tomato,Rajasthan,Jodhpur,1
tomato,Rajasthan,Kota,1
tomato,Rajasthan,Rajsamand,1
tomato,Rajasthan,Sikar,1
tomato,Rajasthan,Sirohi,1
tomato,Rajasthan,Udaipur,1
tomato,Tamil Nadu,Dharmapuri,1
tomato,Tamil Nadu,Dindigul,1
tomato,Tamil Nadu,Kallakuruchi,1
tomato,Tamil Nadu,Pudukkottai,1
tomato,Tamil Nadu,Ramanathapuram,1
tomato,Tamil Nadu,Sivaganga,1
tomato,Tamil Nadu,Thiruchirappalli,1
tomato,Tamil Nadu,Thirupur,1
tomato,Telangana,Karimnagar,1
tomato,Telangana,Medak,1
tomato,Tripura,Dhalai,1
tomato,Tripura,Gomati,1
tomato,Tripura,Khowai,1
tomato,Rajasthan,Jhunjhunu,1
tomato,Rajasthan,Bikaner,1
tomato,Andhra Pradesh,Kurnool,1
tomato,Odisha,Khurda,1
tomato,Maharashtra,Nandurbar,1
tomato,Maharashtra,Raigad,1
tomato,Maharashtra,Ratnagiri,1
tomato,Odisha,Bhadrak,1
tomato,Odisha,Bolangir,1
tomato,Odisha,Boudh,1
tomato,Odisha,Gajapati,1
tomato,Odisha,Ganjam,1
tomato,Odisha,Rayagada,1
tomato,Rajasthan,Bharatpur,1
tomato,Odisha,Sambalpur,1
tomato,Punjab,Barnala,1
tomato,Punjab,Kapurthala,1
tomato,Punjab,Mansa,1
tomato,Punjab,Moga,1
tomato,Rajasthan,Alwar,1
tomato,Rajasthan,Baran,1
tomato,Rajasthan,Beawar,1
tomato,West Bengal,Sounth 24 Parganas,1
wheat,Madhya Pradesh,Sagar,9
wheat,Madhya Pradesh,Rajgarh,7
wheat,Madhya Pradesh,Dhar,7
wheat,Madhya Pradesh,Mandsaur,6
wheat,Madhya Pradesh,Raisen,6
wheat,Maharashtra,Buldhana,6
wheat,Madhya Pradesh,Ujjain,6
wheat,Madhya Pradesh,Tikamgarh,6
wheat,Madhya Pradesh,Khargone,6
wheat,Uttar Pradesh,Bulandshahar,6
wheat,Madhya Pradesh,Dewas,6
wheat,Madhya Pradesh,Chhatarpur,5
wheat,Madhya Pradesh,Hoshangabad,5
wheat,Madhya Pradesh,Jabalpur,5
wheat,Uttar Pradesh,Jalaun (Orai),5
wheat,Rajasthan,Tonk,5
wheat,Uttar Pradesh,Hardoi,5
wheat,Rajasthan,Jhalawar,5
wheat,Uttar Pradesh,Hamirpur,5
wheat,Maharashtra,Chattrapati Sambhajinagar,5
wheat,Gujarat,Amreli,5
wheat,Uttar Pradesh,Raebarelli,5
wheat,Madhya Pradesh,Satna,5
wheat,Madhya Pradesh,Sehore,5
wheat,Madhya Pradesh,Shajapur,5
wheat,Uttar Pradesh,Fatehpur,5
wheat,Madhya Pradesh,Vidisha,5
wheat,Maharashtra,Ahmednagar,5
wheat,Gujarat,Rajkot,5
wheat,Madhya Pradesh,Panna,4
wheat,Madhya Pradesh,Ratlam,4
wheat,Madhya Pradesh,Rewa,4
wheat,Madhya Pradesh,Narsinghpur,4
wheat,Madhya Pradesh,Indore,4
wheat,Madhya Pradesh,Harda,4
wheat,Uttar Pradesh,Jhansi,4
wheat,Madhya Pradesh,Guna,4
wheat,Gujarat,Bhavnagar,4
wheat,Rajasthan,Dausa,4
wheat,West Bengal,Birbhum,4
wheat,Gujarat,Mehsana,4
wheat,Uttar Pradesh,Kanpur,4
wheat,Rajasthan,Baran,4
wheat,Rajasthan,Alwar,4
wheat,Gujarat,Banaskanth,4
wheat,Uttar Pradesh,Sitapur,4
wheat,Gujarat,Gandhinagar,4
wheat,Maharashtra,Nashik,3
wheat,Gujarat,Jamnagar,3
wheat,Uttar Pradesh,Shahjahanpur,3
wheat,Madhya Pradesh,Datia,3
wheat,Madhya Pradesh,Shivpuri,3
wheat,Gujarat,Patan,3
wheat,Uttar Pradesh,Unnao,3
wheat,Uttar Pradesh,Farukhabad,3
wheat,Uttar Pradesh,Etawah,3
wheat,Rajasthan,Ganganagar,3
wheat,Madhya Pradesh,Damoh,3
wheat,Gujarat,Morbi,3
wheat,Madhya Pradesh,Khandwa,3
wheat,Uttar Pradesh,Maharajganj,3
wheat,Uttar Pradesh,Balrampur,3
wheat,Uttar Pradesh,Jaunpur,3
wheat,Uttar Pradesh,Aligarh,3
wheat,Madhya Pradesh,Bhind,3
wheat,Madhya Pradesh,Jhabua,3
wheat,Gujarat,Sabarkantha,3
wheat,Maharashtra,Dhule,3
wheat,Rajasthan,Bundi,3
wheat,Uttar Pradesh,Mainpuri,3
wheat,Uttar Pradesh,Pillibhit,3
wheat,Uttar Pradesh,Bahraich,2
wheat,Uttar Pradesh,Amroha,2
wheat,Uttar Pradesh,Badaun,2
wheat,Rajasthan,Udaipur,2
wheat,Uttar Pradesh,Agra,2
wheat,Rajasthan,Swai Madhopur,2
wheat,Uttar Pradesh,Auraiya,2
wheat,Uttar Pradesh,Ballia,2
wheat,Uttar Pradesh,Amethi,2
wheat,Rajasthan,Jaipur Rural,2
wheat,Bihar,Sheikhpura,2
wheat,Uttar Pradesh,Banda,2
wheat,Uttar Pradesh,Etah,2
wheat,West Bengal,Paschim Bardhaman,2
wheat,West Bengal,Bankura,2
wheat,Uttar Pradesh,Rampur,2
wheat,Uttar Pradesh,Prayagraj,2
wheat,Uttar Pradesh,Mirzapur,2
wheat,Uttar Pradesh,Mathura,2
wheat,Uttar Pradesh,Mahoba,2
wheat,Uttar Pradesh,Lucknow,2
wheat,Uttar Pradesh,Lakhimpur,2
wheat,Uttar Pradesh,Khiri (Lakhimpur),2
wheat,Uttar Pradesh,Kanpur Dehat,2
wheat,Uttar Pradesh,Kannuj,2
wheat,Uttar Pradesh,Hathras,2
wheat,Uttar Pradesh,Gorakhpur,2
wheat,Uttar Pradesh,Gonda,2
wheat,Uttar Pradesh,Ghaziabad,2
wheat,Uttar Pradesh,Firozabad,2
wheat,Rajasthan,Chittorgarh,2
wheat,West Bengal,Uttar Dinajpur,2
wheat,Madhya Pradesh,Mandla,2
wheat,NCT of Delhi,Delhi,2
wheat,Maharashtra,Jalgaon,2
wheat,Madhya Pradesh,Gwalior,2
wheat,Maharashtra,Nagpur,2
wheat,Madhya Pradesh,Alirajpur,2
wheat,Gujarat,Junagarh,2
wheat,Maharashtra,Beed,2
wheat,Maharashtra,Vashim,2
wheat,Madhya Pradesh,Bhopal,2
wheat,Karnataka,Bidar,2
wheat,Gujarat,Anand,2
wheat,Rajasthan,Bharatpur,2
wheat,Madhya Pradesh,Sheopur,2
wheat,Madhya Pradesh,Morena,2
wheat,Madhya Pradesh,Neemuch,2
wheat,Madhya Pradesh,Seoni,2
wheat,Madhya Pradesh,Chhindwara,2
wheat,Karnataka,Gadag,1
wheat,Karnataka,Shimoga,1
wheat,Madhya Pradesh,Burhanpur,1
wheat,Madhya Pradesh,Ashoknagar,1
wheat,Uttar Pradesh,Lalitpur,1
wheat,Madhya Pradesh,Badwani,1
wheat,Madhya Pradesh,Dindori,1
wheat,Madhya Pradesh,Betul,1
wheat,Uttar Pradesh,Meerut,1
wheat,Uttar Pradesh,Kasganj,1
wheat,Rajasthan,Bhilwara,1
wheat,Karnataka,Bangalore,1
wheat,Uttar Pradesh,Muzaffarnagar,1
wheat,Chattisgarh,Mungeli,1
wheat,West Bengal,Nadia,1
wheat,West Bengal,Murshidabad,1
wheat,Chattisgarh,Rajnandgaon,1
wheat,Uttarakhand,Haridwar,1
wheat,Uttar Pradesh,Varanasi,1
wheat,Gujarat,Bharuch,1
wheat,Uttar Pradesh,Sonbhadra,1
wheat,Gujarat,Dahod,1
wheat,Uttar Pradesh,Siddharth Nagar,1
wheat,Uttar Pradesh,Shamli,1
wheat,Gujarat,Gir Somnath,1
wheat,Uttar Pradesh,Sambhal,1
wheat,Uttar Pradesh,Saharanpur,1
wheat,Gujarat,Kheda,1
wheat,Gujarat,Porbandar,1
wheat,Uttar Pradesh,Pratapgarh,1
wheat,Gujarat,Surendranagar,1
wheat,Madhya Pradesh,Shehdol,1
wheat,Madhya Pradesh,Katni,1
wheat,Rajasthan,Pratapgarh,1
wheat,Maharashtra,Pune,1
wheat,Maharashtra,Raigad,1
wheat,Maharashtra,Sangli,1
wheat,Uttar Pradesh,Ambedkarnagar,1
wheat,Maharashtra,Sholapur,1
wheat,Maharashtra,Thane,1
wheat,Maharashtra,Wardha,1
wheat,Rajasthan,Kota,1
wheat,Uttar Pradesh,Ghazipur,1
wheat,Rajasthan,Khairthal Tijara,1
wheat,Rajasthan,Kekri,1
wheat,Chattisgarh,Balodabazar,1
wheat,Rajasthan,Anupgarh,1
wheat,Rajasthan,Hanumangarh,1
wheat,Rajasthan,Gangapur City,1
wheat,Rajasthan,Beawar,1
wheat,Uttar Pradesh,Ayodhya,1
wheat,Uttar Pradesh,Azamgarh,1
wheat,Maharashtra,Nandurbar,1
wheat,Maharashtra,Mumbai,1
wheat,Uttar Pradesh,Gautam Budh Nagar,1
wheat,Madhya Pradesh,Sidhi,1
wheat,Madhya Pradesh,Umariya,1
wheat,Maharashtra,Akola,1
wheat,Maharashtra,Amarawati,1
wheat,Uttar Pradesh,Deoria,1
wheat,Uttar Pradesh,Chitrakut,1
wheat,Uttar Pradesh,Chandauli,1
wheat,Maharashtra,Dharashiv(Usmanabad),1
wheat,Uttar Pradesh,Bijnor,1
wheat,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),1
wheat,Uttar Pradesh,Basti,1
wheat,Uttar Pradesh,Bareilly,1
wheat,Uttar Pradesh,Barabanki,1
wheat,Maharashtra,Jalana,1
wheat,Rajasthan,Ajmer,1
