experiment_family,experiment_name,crop,horizon_days,validation_rows,validation_start,validation_end,mae,rmse,r2,mape_pct,wape_pct,threshold_km,alpha
graph_model,graph_neighbor_blend,onion,15,4974,2025-10-03,2025-12-31,480.0101056884403,601.076792435737,0.6518143003597365,17.08844031075805,16.78708873383627,75.0,0.9
graph_model,graph_neighbor_blend,onion,15,4974,2025-10-03,2025-12-31,490.1521027859528,612.8978333667446,0.63798448632735,17.40156735962766,17.141778360568335,150.0,0.9
graph_model,graph_neighbor_blend,onion,15,4974,2025-10-03,2025-12-31,499.17728400645063,620.5133052820732,0.6289322538932655,17.67058576275695,17.45741029454638,300.0,0.9
graph_model,graph_neighbor_blend,potato,15,2307,2025-09-02,2025-11-30,261.6637221572387,446.56564034344586,0.8998849572302491,10.395485902878407,10.042707540316744,75.0,0.9500000000000001
graph_model,graph_neighbor_blend,potato,15,2307,2025-09-02,2025-11-30,260.3683942546618,442.69125667310067,0.9016146086830893,10.32689490360547,9.992992588671386,150.0,0.9500000000000001
graph_model,graph_neighbor_blend,potato,15,2307,2025-09-02,2025-11-30,260.5879778930978,442.1808405681626,0.9018413515313947,10.346580369783615,10.001420253933007,300.0,0.9500000000000001
graph_model,graph_neighbor_blend,tomato,15,24442,2025-10-03,2025-12-31,897.855032322778,1273.324427582433,0.22708838013533184,25.124924212648743,26.976661460948176,75.0,0.8
graph_model,graph_neighbor_blend,tomato,15,24442,2025-10-03,2025-12-31,899.838555464748,1275.399251076137,0.22456748020785022,25.087415586163083,27.03625775475348,150.0,0.8
graph_model,graph_neighbor_blend,tomato,15,24442,2025-10-03,2025-12-31,898.8264163317405,1273.882920644921,0.2264102176266085,24.977887226746397,27.005847350223156,300.0,0.8
graph_model,graph_neighbor_blend,wheat,15,288,2025-09-02,2025-11-30,38.82698702892684,65.82790637892286,0.6630349452407603,1.5485910661228461,1.534110793192252,75.0,1.0
graph_model,graph_neighbor_blend,wheat,15,288,2025-09-02,2025-11-30,38.82698702892684,65.82790637892286,0.6630349452407603,1.5485910661228461,1.534110793192252,150.0,1.0
graph_model,graph_neighbor_blend,wheat,15,288,2025-09-02,2025-11-30,109.57776169301539,120.99443955674386,-0.13840187722659136,4.3274398656250845,4.329576919833167,300.0,0.9500000000000001
