crop,horizon_days,target_mode,graph_mode,correction_scale,best_alpha,train_windows,validation_windows,validation_start,validation_end,mae,rmse,r2,wape_pct,geo_radius_km,config_name
onion,15,delta_roll28,full_graph,0.25,0.8500000000000001,795,19,2025-10-03,2025-12-31,355.5582580566406,440.1426437815359,0.813302755355835,12.434714317321777,10,onion__radius_10km
onion,15,delta_roll28,full_graph,0.25,0.8500000000000001,795,19,2025-10-03,2025-12-31,355.5055236816406,440.08181057617,0.8133543133735657,12.432869911193848,25,onion__radius_25km
onion,15,delta_roll28,full_graph,0.25,0.8500000000000001,795,19,2025-10-03,2025-12-31,355.7007751464844,440.2814973116631,0.813184916973114,12.439698219299316,50,onion__radius_50km
