crop,horizon_days,experiment_family,experiment_name,validation_rows,validation_start,validation_end,mae,rmse,r2,mape_pct,wape_pct,display_name,graph_bucket,source_file,train_rows,target_mode,normalization_mode,feature_count,candidate_index,params_json,artifact_path,device,train_windows,validation_windows,target_encoding
onion,1,baseline,current_price,8678,2025-10-03,2025-12-31,100.50790726016088,214.4384188162546,0.9534936294855996,3.9697313288031575,3.761812624226144,current_price,non_graph,baseline_metrics/baseline_metrics.csv,10000.0,delta_current,series_mean_center,33.0,,,,,,,
potato,1,classical_ml,elasticnet_a001_l05,4113,2025-09-02,2025-11-30,127.44339585176444,248.3241144497525,0.970455609977973,4.529370153131881,4.854419043916258,elasticnet_a001_l05,non_graph,classical_ml_metrics/classical_ml_metrics.csv,20000.0,delta_current,series_mean_center,33.0,,,,,,,
tomato,1,classical_ml,linear_regression,29374,2025-10-03,2025-12-31,258.3711745269611,433.33712723336953,0.9042919640544947,8.360840266773732,8.148971978444706,linear_regression,non_graph,classical_ml_metrics/classical_ml_metrics.csv,20000.0,delta_current,series_mean_center,33.0,,,,,,,
wheat,1,focused_tabular,extratrees_tuned,528,2025-09-02,2025-11-30,32.41940978629935,50.34262547705582,0.7934862280746438,1.2818154818468996,1.2780964134136583,extratrees_tuned,non_graph,expanded_model_metrics/expanded_model_metrics.csv,20000.0,delta_current,series_mean_center,33.0,3.0,"{""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",artifacts/extratrees/wheat/wheat_extratrees_1d.joblib,cpu,2000.0,528.0,log_delta_current
