experiment_family,experiment_name,crop,horizon_days,validation_rows,validation_start,validation_end,mae,rmse,r2,mape_pct,wape_pct,train_rows,target_mode,normalization_mode
tabular_variant,histgb_delta_current_mean_center,onion,1,8678,2025-10-03,2025-12-31,138.62519499609778,227.94007550999356,0.9474529148242051,5.6015396445995735,5.188467482685668,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,onion,2,8412,2025-10-03,2025-12-31,218.98859897945619,317.1245179420634,0.8986245544015474,8.63971990786802,8.172043418769992,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,onion,3,8146,2025-10-03,2025-12-31,235.98816334709187,335.6620669977171,0.8868776779301042,9.364513867544684,8.779050177652085,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,onion,4,7880,2025-10-03,2025-12-31,258.9890385740576,363.4124298820339,0.867922841691514,10.336775367713171,9.600345799287457,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,onion,5,7615,2025-10-03,2025-12-31,266.0901551848299,376.29774631127555,0.8589035263079272,10.351053913798168,9.828374858456423,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,onion,6,7350,2025-10-03,2025-12-31,274.3585768629905,388.69958912090635,0.8499956267038815,10.722596846643725,10.093908872725164,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,onion,7,7085,2025-10-03,2025-12-31,331.45001099405374,456.39014552463846,0.7939604758256228,12.57139502100835,12.14046434210918,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,onion,8,6821,2025-10-03,2025-12-31,371.3500717020069,489.8291150806898,0.763338537614755,14.543635229699102,13.541134440716357,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,onion,9,6557,2025-10-03,2025-12-31,348.43657430788267,467.3528562561136,0.7849491985409119,13.281683829649008,12.644960894786761,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,onion,10,6293,2025-10-03,2025-12-31,359.04594608334844,476.1348280312829,0.7776028114514738,13.639917031809116,12.960486440188296,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,onion,11,6030,2025-10-03,2025-12-31,425.022470787855,548.7833767068319,0.7051460435408444,16.295171627675796,15.257967292309708,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,onion,12,5766,2025-10-03,2025-12-31,412.87009653733634,535.4635160800486,0.7201379624430072,14.782492383632452,14.731052598546476,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,onion,13,5502,2025-10-03,2025-12-31,419.7940038392386,540.4366817699841,0.7157239121209569,15.140557075969744,14.881767818588745,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,onion,14,5238,2025-10-03,2025-12-31,385.9740889647269,495.4779800690315,0.7620334165041885,13.73134395390371,13.589269541140228,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,onion,15,4974,2025-10-03,2025-12-31,440.2018812687518,556.9687677889648,0.7010402682751145,15.509599908765951,15.394900969973795,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,potato,1,4113,2025-09-02,2025-11-30,148.38426777027,288.1329121247972,0.960223828972809,4.927782864975519,5.652073302561761,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,potato,2,3984,2025-09-02,2025-11-30,164.06142991306524,294.19195347836353,0.9583077590538962,5.628160633571095,6.254977193483706,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,potato,3,3855,2025-09-02,2025-11-30,171.50826975873184,327.4183747035919,0.9481363375466939,5.846491751721603,6.543948615919253,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,potato,4,3726,2025-09-02,2025-11-30,199.25669006029585,340.0665184706102,0.9436633046647697,6.93935875311921,7.612074356927027,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,potato,5,3597,2025-09-02,2025-11-30,211.12014668865086,354.9254786599969,0.9381691531122776,7.347770721929203,8.074803148600353,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,potato,6,3468,2025-09-02,2025-11-30,205.98510027415153,358.66905158311005,0.936426990311243,7.375812454031714,7.886477329225445,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,potato,7,3339,2025-09-02,2025-11-30,246.5119462404785,419.7586826779296,0.9122705975311989,8.55410775156235,9.44858782748798,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,potato,8,3210,2025-09-02,2025-11-30,246.4058963784368,394.28189580292,0.9220980378999015,8.929517362111225,9.455420873528377,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,potato,9,3081,2025-09-02,2025-11-30,247.8638192913259,399.2762859011322,0.9196108497867373,9.081672283020445,9.524154879234601,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,potato,10,2952,2025-09-02,2025-11-30,261.2657001533337,402.01326853572374,0.9187887332655361,9.900307938106796,10.027123086699104,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,potato,11,2823,2025-09-02,2025-11-30,255.05007166867614,404.3199890172669,0.9179384023520766,9.378728142297343,9.78764239628804,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,potato,12,2694,2025-09-02,2025-11-30,228.68988703569332,367.70396161234885,0.9321648657697027,8.782566402182493,8.77574584651167,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,potato,13,2565,2025-09-02,2025-11-30,242.19019360792652,384.38198578277627,0.9257576649432905,9.21611517104152,9.298960587750877,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,potato,14,2436,2025-09-02,2025-11-30,238.90471340534745,377.14065889110736,0.9285002794737482,9.278321898595147,9.173805961087202,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,potato,15,2307,2025-09-02,2025-11-30,236.7407119245639,368.0214204081596,0.9320053218275137,9.232499421858769,9.086157275237706,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,tomato,1,29374,2025-10-03,2025-12-31,263.23370048646603,451.3503308668801,0.8961696938458534,8.316234685386716,8.30233501463097,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,tomato,2,28999,2025-10-03,2025-12-31,341.6102733964475,553.0149455904133,0.8449765281101645,10.499163514467817,10.74107973955692,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,tomato,3,28633,2025-10-03,2025-12-31,406.7188760583097,651.4294269469841,0.786044509223295,12.298790206337761,12.749520643969566,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,tomato,4,28270,2025-10-03,2025-12-31,463.4572010156778,706.506418835991,0.7497130403171408,13.866301725217125,14.484341225069839,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,tomato,5,27912,2025-10-03,2025-12-31,520.8679414135821,789.4343238229453,0.6891814370610263,15.244858569859836,16.227776163092045,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,tomato,6,27557,2025-10-03,2025-12-31,542.6114915152,823.6611353058423,0.6634507255071217,15.878088015115683,16.850665835033656,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,tomato,7,27206,2025-10-03,2025-12-31,596.5802314245635,890.7763252307636,0.6082639146166509,17.120809025291734,18.4649747923819,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,tomato,8,26858,2025-10-03,2025-12-31,640.8023070889677,955.710474146621,0.5510493105550464,18.62252221798091,19.765373824054624,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,tomato,9,26510,2025-10-03,2025-12-31,716.1581090137992,1064.8100305499527,0.445290903640836,20.080124646332205,22.01230138636935,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,tomato,10,26162,2025-10-03,2025-12-31,756.828739829785,1109.9722898398195,0.39949145878296854,21.246422759800684,23.179915698542537,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,tomato,11,25816,2025-10-03,2025-12-31,757.8844747539521,1115.8526085621888,0.39601446884624314,21.45086296689941,23.12678070094076,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,tomato,12,25471,2025-10-03,2025-12-31,760.7841341070406,1127.9842665806384,0.3861855529076008,21.14000519164298,23.12690962307724,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,tomato,13,25127,2025-10-03,2025-12-31,815.3416530038925,1176.930038348938,0.3341952748581425,22.608144822984606,24.690075990225196,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,tomato,14,24783,2025-10-03,2025-12-31,827.4713714590914,1205.533289621224,0.30420448442956316,22.605100647489145,24.96015047160951,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,tomato,15,24442,2025-10-03,2025-12-31,856.6544343880687,1242.5696489987988,0.26397396315635435,23.335926286600518,25.738761641421714,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,wheat,1,528,2025-09-02,2025-11-30,36.71340717500732,55.38642727780492,0.7500322390509527,1.44968979431544,1.4473821190416056,10000,delta_current,series_mean_center
