experiment_family,experiment_name,crop,horizon_days,validation_rows,validation_start,validation_end,mae,rmse,r2,mape_pct,wape_pct
baseline,previous_day_price,wheat,1,528,2025-09-02,2025-11-30,36.178604483830526,62.08377076578217,0.6859249265484453,1.433081061468833,1.4262981632884724
baseline,current_price,wheat,1,528,2025-09-02,2025-11-30,33.90653022450624,61.80241040936063,0.688765219055006,1.3450010435462398,1.3367243560848916
baseline,roll_mean_7,wheat,1,528,2025-09-02,2025-11-30,35.31470977801961,55.05455982449456,0.7530188058918947,1.3873590052148561,1.3922401488970262
baseline,roll_mean_28,wheat,1,528,2025-09-02,2025-11-30,47.52955410541937,68.23072745975132,0.620652435666829,1.860149071986566,1.873795761049269
baseline,previous_day_price,wheat,15,288,2025-09-02,2025-11-30,41.64865260708464,69.82362837694926,0.6208861898346404,1.6545297164684145,1.6455989087909708
baseline,current_price,wheat,15,288,2025-09-02,2025-11-30,38.82698702892684,65.82790637892286,0.6630349452407603,1.5485910661228461,1.534110793192252
baseline,roll_mean_7,wheat,15,288,2025-09-02,2025-11-30,40.920274098628525,65.5036153673489,0.6663467800509517,1.622600357448939,1.6168196133354846
baseline,roll_mean_28,wheat,15,288,2025-09-02,2025-11-30,59.5915212860406,80.39118494957178,0.49744726719305055,2.3382492858083825,2.3545477767706027
