experiment_family,experiment_name,crop,horizon_days,validation_rows,validation_start,validation_end,mae,rmse,r2,mape_pct,wape_pct,threshold_km,train_rows
graph_model,graph_histgb_augmented,onion,15,4974,2025-10-03,2025-12-31,511.39272508201003,643.164710933859,0.6013466435214856,17.241688539333847,17.884613161378237,75.0,3000
graph_model,graph_histgb_augmented,onion,15,4974,2025-10-03,2025-12-31,540.2485836614418,673.0938074693345,0.5633814330632925,18.08348622607245,18.893770786860323,150.0,3000
graph_model,graph_histgb_augmented,onion,15,4974,2025-10-03,2025-12-31,513.619569106563,648.9671416057672,0.5941211452336121,17.2917444463817,17.96249116393189,300.0,3000
graph_model,graph_histgb_augmented,potato,15,2307,2025-09-02,2025-11-30,256.65193459711986,405.31016309799924,0.9175285337927174,9.69916271032334,9.850354101691327,75.0,3000
graph_model,graph_histgb_augmented,potato,15,2307,2025-09-02,2025-11-30,262.26030534712487,416.6283000579609,0.9128582531654498,9.731996758640602,10.065604525997838,150.0,3000
graph_model,graph_histgb_augmented,potato,15,2307,2025-09-02,2025-11-30,257.7366724087239,416.1255780689665,0.913068424399213,9.651126224102638,9.89198656227872,300.0,3000
graph_model,graph_histgb_augmented,tomato,15,24442,2025-10-03,2025-12-31,913.8099557461295,1308.270747661287,0.18408116848901757,25.01678200850118,27.456037921882654,75.0,3000
graph_model,graph_histgb_augmented,tomato,15,24442,2025-10-03,2025-12-31,915.0419639837302,1309.6619108588964,0.18234501448544327,25.091732146146338,27.493054442307862,150.0,3000
graph_model,graph_histgb_augmented,tomato,15,24442,2025-10-03,2025-12-31,908.7997127313174,1303.810057964194,0.18963560895202636,24.86774206841354,27.3055017832167,300.0,3000
graph_model,graph_histgb_augmented,wheat,15,288,2025-09-02,2025-11-30,51.41223935089933,71.61345268033016,0.6012010517968575,2.058905800457782,2.0313724377231974,75.0,3000
graph_model,graph_histgb_augmented,wheat,15,288,2025-09-02,2025-11-30,48.426353200138784,69.74306809076214,0.6217605041273078,1.9424733410343982,1.9133957281806229,150.0,3000
graph_model,graph_histgb_augmented,wheat,15,288,2025-09-02,2025-11-30,48.165856226735265,69.11284432537768,0.6285654383464303,1.9296067589851367,1.9031031134537957,300.0,3000
