experiment_family,experiment_name,crop,horizon_days,validation_rows,validation_start,validation_end,mae,rmse,r2,mape_pct,wape_pct
baseline,roll_mean_7,onion,6,7350,2025-10-03,2025-12-31,368.88694081993265,485.47169755807425,0.766006609661252,15.346672594844222,13.571695871692075
baseline,roll_mean_28,onion,6,7350,2025-10-03,2025-12-31,446.48985495186616,535.9881565215009,0.714775948522779,20.81130136252777,16.426779727506162
baseline,previous_day_price,onion,7,7085,2025-10-03,2025-12-31,306.81941603289204,450.8383619050596,0.798942745615715,11.814368623114294,11.238286487433285
baseline,current_price,onion,7,7085,2025-10-03,2025-12-31,262.3538520080075,403.0731875488239,0.8392889121020444,9.748077550625771,9.609586603318428
baseline,roll_mean_7,onion,7,7085,2025-10-03,2025-12-31,390.2418662471575,505.7101673626713,0.7470227939219215,16.11229987522181,14.293912520210327
baseline,roll_mean_28,onion,7,7085,2025-10-03,2025-12-31,444.768933117085,535.4466652611956,0.7163972370237839,20.687651350458108,16.291148571066984
baseline,previous_day_price,onion,8,6821,2025-10-03,2025-12-31,331.2169888457851,476.01099430985903,0.7765026800691284,12.655886015494493,12.077697344863035
baseline,current_price,onion,8,6821,2025-10-03,2025-12-31,289.45416507810535,430.50399437320925,0.8171930414678276,10.672557937529671,10.554832387088368
baseline,roll_mean_7,onion,8,6821,2025-10-03,2025-12-31,410.06197460172916,524.2377671760773,0.7289215692879839,16.79090253919895,14.952748767915807
baseline,roll_mean_28,onion,8,6821,2025-10-03,2025-12-31,442.0347974411657,533.3198240025334,0.7194477173229092,20.51167069539858,16.118625188872688
baseline,previous_day_price,onion,9,6557,2025-10-03,2025-12-31,354.92397137572704,497.51297309033714,0.7562974448733266,13.501255452956334,12.880392213656751
baseline,current_price,onion,9,6557,2025-10-03,2025-12-31,313.95525496036373,456.5806318131082,0.7947485506934359,11.480459043728896,11.393614259847219
baseline,roll_mean_7,onion,9,6557,2025-10-03,2025-12-31,428.37274581569017,540.3070644628092,0.7125696956111883,17.3686536752713,15.54588989399695
