experiment_family,experiment_name,crop,horizon_days,validation_rows,validation_start,validation_end,mae,rmse,r2,mape_pct,wape_pct,train_rows,feature_count
classical_ml,linear_regression,onion,1,8678,2025-10-03,2025-12-31,160.1268042916517,235.4325623097924,0.9439416496716543,6.681546554380327,5.99323028686808,20000,33
classical_ml,ridge_alpha_10,onion,1,8678,2025-10-03,2025-12-31,161.29653425555745,236.22640019957197,0.9435629742043422,6.753228053095454,6.037010971046155,20000,33
classical_ml,elasticnet_a001_l05,onion,1,8678,2025-10-03,2025-12-31,170.21893613059987,242.90100801047348,0.9403286464891352,7.307731524306739,6.370958865564279,20000,33
classical_ml,linear_regression,onion,15,4974,2025-10-03,2025-12-31,805.4121028599541,920.7312146005593,0.1830099948690147,28.37346340791666,28.167166227936598,20000,33
classical_ml,ridge_alpha_10,onion,15,4974,2025-10-03,2025-12-31,805.0213979431062,920.1191124098106,0.1840959038443235,28.378509274446735,28.1535023528845,20000,33
classical_ml,elasticnet_a001_l05,onion,15,4974,2025-10-03,2025-12-31,800.3150621348917,913.9578306354464,0.19498619853511523,28.365489390070277,27.988910658069205,20000,33
classical_ml,linear_regression,potato,1,4113,2025-09-02,2025-11-30,126.83619327564455,249.66190766916458,0.9701364243116186,4.548035599021122,4.831290220885993,20000,33
classical_ml,ridge_alpha_10,potato,1,4113,2025-09-02,2025-11-30,126.4818269930535,249.39032781469905,0.9702013596030011,4.536483058100375,4.817792130857597,20000,33
classical_ml,elasticnet_a001_l05,potato,1,4113,2025-09-02,2025-11-30,127.44339585176444,248.3241144497525,0.970455609977973,4.529370153131881,4.854419043916258,20000,33
classical_ml,linear_regression,potato,15,2307,2025-09-02,2025-11-30,233.48482575594585,359.74186464221833,0.9350303254973698,9.375601925968196,8.961195693607584,20000,33
classical_ml,ridge_alpha_10,potato,15,2307,2025-09-02,2025-11-30,232.95029785618055,359.100608975461,0.9352617416527196,9.358517948217795,8.94068040274026,20000,33
classical_ml,elasticnet_a001_l05,potato,15,2307,2025-09-02,2025-11-30,229.76110239118324,353.8284106984172,0.9371487193015309,9.26718558966802,8.818278424048593,20000,33
classical_ml,linear_regression,tomato,1,29374,2025-10-03,2025-12-31,258.3711745269611,433.33712723336953,0.9042919640544949,8.360840266773732,8.148971978444706,20000,33
classical_ml,ridge_alpha_10,tomato,1,29374,2025-10-03,2025-12-31,258.34345840921384,433.3405847554963,0.9042904367726105,8.359708026561135,8.148097817976584,20000,33
classical_ml,elasticnet_a001_l05,tomato,1,29374,2025-10-03,2025-12-31,259.1744619261499,434.22647626617044,0.9038987127560016,8.374436877858107,8.17430749243388,20000,33
classical_ml,linear_regression,tomato,15,24442,2025-10-03,2025-12-31,993.1637205641542,1372.8157224707402,0.10158667663374754,28.0092850934073,29.840275434713092,20000,33
classical_ml,ridge_alpha_10,tomato,15,24442,2025-10-03,2025-12-31,992.4144627890382,1371.9600940954042,0.10270622729913004,27.986972294872174,29.817763478307395,20000,33
classical_ml,elasticnet_a001_l05,tomato,15,24442,2025-10-03,2025-12-31,989.9180639808139,1369.0589105982626,0.10649709772429383,27.920251944707807,29.74275748836851,20000,33
classical_ml,linear_regression,wheat,1,528,2025-09-02,2025-11-30,33.575220482001015,51.387426012124614,0.7848253894353877,1.3277645574072425,1.3236628661806586,20000,33
classical_ml,ridge_alpha_10,wheat,1,528,2025-09-02,2025-11-30,33.65299280559033,51.4580093151155,0.7842338764336767,1.3310245164011816,1.326728946917402,20000,33
classical_ml,elasticnet_a001_l05,wheat,1,528,2025-09-02,2025-11-30,33.75485477314786,51.63141114125592,0.7827772604822326,1.3353965755240071,1.3307447330238336,20000,33
classical_ml,linear_regression,wheat,15,288,2025-09-02,2025-11-30,62.12407103782951,81.79519238207037,0.4797401215716023,2.5001700415982615,2.4546125050901386,20000,33
classical_ml,ridge_alpha_10,wheat,15,288,2025-09-02,2025-11-30,62.494339636121694,82.17362789910658,0.47491489245368324,2.5154288842559973,2.469242356553942,20000,33
classical_ml,elasticnet_a001_l05,wheat,15,288,2025-09-02,2025-11-30,62.74642538348774,82.39289914191193,0.4721088905528802,2.5258916249986116,2.479202631492506,20000,33
