experiment_family,experiment_name,crop,horizon_days,validation_rows,validation_start,validation_end,mae,rmse,r2,mape_pct,wape_pct
baseline,previous_day_price,onion,1,8678,2025-10-03,2025-12-31,152.30108213895642,284.6825741498773,0.9180348905627915,6.184554978197416,5.700328950145451
baseline,current_price,onion,1,8678,2025-10-03,2025-12-31,100.50790726016088,214.4384188162546,0.9534936294855996,3.9697313288031575,3.761812624226144
baseline,roll_mean_7,onion,1,8678,2025-10-03,2025-12-31,252.63602596248083,363.1752571868298,0.8666049358270834,10.905424582770372,9.455667894268153
baseline,roll_mean_28,onion,1,8678,2025-10-03,2025-12-31,432.81262186877944,516.0222325631546,0.7306952078267028,20.363397908459493,16.19932231457134
baseline,previous_day_price,onion,15,4974,2025-10-03,2025-12-31,480.47711897531707,601.9219271004515,0.6508344898571525,17.20330133545328,16.803421293075697
baseline,current_price,onion,15,4974,2025-10-03,2025-12-31,449.06007615176964,579.6543313417675,0.6761908022971418,15.641935624806072,15.704692996767818
baseline,roll_mean_7,onion,15,4974,2025-10-03,2025-12-31,490.02704010732805,589.842641602759,0.6647078840258532,18.618629140304144,17.137404622893886
baseline,roll_mean_28,onion,15,4974,2025-10-03,2025-12-31,387.3250903099382,479.0784306995141,0.7788106326779047,17.551171290469146,13.545674523974219
baseline,previous_day_price,potato,1,4113,2025-09-02,2025-11-30,134.16449958870268,317.16201346754707,0.9518052679998411,4.475320308954942,5.110431164110229
baseline,current_price,potato,1,4113,2025-09-02,2025-11-30,101.79922020310896,275.05977448059855,0.9637513862770033,3.3753744817051587,3.8776122521452336
baseline,roll_mean_7,potato,1,4113,2025-09-02,2025-11-30,172.2375583674744,318.1551778087352,0.9515029604715384,6.170054497078513,6.560663876135485
baseline,roll_mean_28,potato,1,4113,2025-09-02,2025-11-30,226.0212411184847,360.3902991478245,0.9377723469470659,8.669552939907293,8.609326594619066
baseline,previous_day_price,potato,15,2307,2025-09-02,2025-11-30,263.75484506353865,460.167943723461,0.8936931006732123,10.40998380519585,10.122965268081574
baseline,current_price,potato,15,2307,2025-09-02,2025-11-30,257.8158372427346,455.7993839835801,0.8957019482708398,10.108654775449889,9.895024924910317
baseline,roll_mean_7,potato,15,2307,2025-09-02,2025-11-30,249.80781904494674,389.6992986751351,0.9237591066322695,10.127424649101739,9.58767553740298
baseline,roll_mean_28,potato,15,2307,2025-09-02,2025-11-30,245.19528588266448,363.75415611887234,0.9335729973596701,9.995508662252133,9.410645564784241
baseline,previous_day_price,tomato,1,29374,2025-10-03,2025-12-31,312.9959858643454,551.9059184326277,0.8447517523347337,9.990967973037037,9.87182692823216
baseline,current_price,tomato,1,29374,2025-10-03,2025-12-31,239.0287382686688,469.70354729976873,0.8875539292211889,7.830139306742269,7.538915646300621
baseline,roll_mean_7,tomato,1,29374,2025-10-03,2025-12-31,412.5067385307674,626.808321145534,0.7997529574005012,12.662212028649295,13.010374935831189
baseline,roll_mean_28,tomato,1,29374,2025-10-03,2025-12-31,554.3618911578085,841.1528633060452,0.6393827813225459,16.589046209578527,17.48445632618818
baseline,previous_day_price,tomato,15,24442,2025-10-03,2025-12-31,861.5590393089818,1246.9556242935823,0.2587687991778459,24.712463516736012,25.88612381213749
baseline,current_price,tomato,15,24442,2025-10-03,2025-12-31,848.5406227231013,1230.0761870235328,0.27870035696307704,24.389331836085823,25.494976684425414
baseline,roll_mean_7,tomato,15,24442,2025-10-03,2025-12-31,825.8928337148412,1190.2761570037321,0.3246216055535157,23.420309637860797,24.81450855213212
baseline,roll_mean_28,tomato,15,24442,2025-10-03,2025-12-31,772.5399782737509,1141.2791889268422,0.37908022542700215,21.547978792174877,23.2114859400232
baseline,previous_day_price,wheat,1,528,2025-09-02,2025-11-30,36.178604483830526,62.08377076578217,0.6859249265484453,1.433081061468833,1.4262981632884724
baseline,current_price,wheat,1,528,2025-09-02,2025-11-30,33.90653022450624,61.80241040936063,0.688765219055006,1.3450010435462398,1.3367243560848916
baseline,roll_mean_7,wheat,1,528,2025-09-02,2025-11-30,35.31470977801961,55.05455982449456,0.7530188058918947,1.3873590052148561,1.3922401488970262
baseline,roll_mean_28,wheat,1,528,2025-09-02,2025-11-30,47.52955410541937,68.23072745975132,0.620652435666829,1.860149071986566,1.873795761049269
baseline,previous_day_price,wheat,15,288,2025-09-02,2025-11-30,41.64865260708464,69.82362837694926,0.6208861898346404,1.6545297164684145,1.6455989087909708
baseline,current_price,wheat,15,288,2025-09-02,2025-11-30,38.82698702892684,65.82790637892286,0.6630349452407603,1.5485910661228461,1.534110793192252
baseline,roll_mean_7,wheat,15,288,2025-09-02,2025-11-30,40.920274098628525,65.5036153673489,0.6663467800509517,1.622600357448939,1.6168196133354846
baseline,roll_mean_28,wheat,15,288,2025-09-02,2025-11-30,59.5915212860406,80.39118494957178,0.49744726719305055,2.3382492858083825,2.3545477767706027
