experiment_family,experiment_name,crop,horizon_days,validation_rows,validation_start,validation_end,mae,rmse,r2,mape_pct,wape_pct,candidate_index,train_rows,feature_count,params_json,device,train_windows,validation_windows,target_encoding
focused_tabular,lightgbm_tuned,potato,1,4113,2025-09-02,2025-11-30,134.87508665356566,269.4732208130273,0.9652088757031425,4.555368177982231,5.13749798351642,1,20000.0,33.0,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 40, ""n_estimators"": 250, ""num_leaves"": 31, ""subsample"": 0.9}",,,,
focused_tabular,lightgbm_tuned,potato,1,4113,2025-09-02,2025-11-30,134.71379801353314,270.38759707291274,0.9649723687096765,4.57146200125047,5.131354372539105,2,20000.0,33.0,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 8, ""min_child_samples"": 30, ""n_estimators"": 350, ""num_leaves"": 47, ""subsample"": 0.85}",,,,
focused_tabular,extratrees_tuned,potato,1,4113,2025-09-02,2025-11-30,141.0939676785105,254.79130496362478,0.9688967018564391,5.366475912041337,5.374380046157437,1,20000.0,33.0,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",,,,
focused_tabular,extratrees_tuned,potato,1,4113,2025-09-02,2025-11-30,144.00864831367733,258.8329182597301,0.9679021269624132,5.463670315456612,5.485402520784096,2,20000.0,33.0,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 300}",,,,
focused_tabular,extratrees_tuned,potato,1,4113,2025-09-02,2025-11-30,141.57215574677588,254.80871829997616,0.968892450292987,5.3946655393813305,5.392594605253627,3,20000.0,33.0,"{""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",,,,
focused_tabular,extratrees_tuned,potato,1,4113,2025-09-02,2025-11-30,142.97877996058358,257.6338249143856,0.968198837240839,5.300238453998465,5.446174026340963,4,20000.0,33.0,"{""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 300}",,,,
focused_tabular,xgboost_tuned,potato,15,2307,2025-09-02,2025-11-30,254.83202750244183,490.5652595388245,0.8791845969597394,9.68105857017078,9.78050569262751,1,20000.0,33.0,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 4, ""n_estimators"": 250, ""subsample"": 0.85}",,,,
focused_tabular,xgboost_tuned,potato,15,2307,2025-09-02,2025-11-30,264.1702963376956,569.2861284947892,0.8372991088841695,9.802838880805098,10.138910373536824,2,20000.0,33.0,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.04, ""max_depth"": 6, ""min_child_weight"": 6, ""n_estimators"": 350, ""subsample"": 0.9}",,,,
focused_tabular,lightgbm_tuned,potato,15,2307,2025-09-02,2025-11-30,265.0756114354714,515.0027148922537,0.8668479782293025,9.965092538610289,10.173656553419306,1,20000.0,33.0,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 40, ""n_estimators"": 250, ""num_leaves"": 31, ""subsample"": 0.9}",,,,
focused_tabular,lightgbm_tuned,potato,15,2307,2025-09-02,2025-11-30,251.19379355785068,407.55770008297327,0.9166113517793507,9.542929952163405,9.640869524619378,2,20000.0,33.0,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 8, ""min_child_samples"": 30, ""n_estimators"": 350, ""num_leaves"": 47, ""subsample"": 0.85}",,,,
focused_tabular,extratrees_tuned,potato,15,2307,2025-09-02,2025-11-30,232.09871354960103,355.78621412339896,0.9364512575925316,9.388067291754435,8.907996421688571,1,20000.0,33.0,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",,,,
focused_tabular,extratrees_tuned,potato,15,2307,2025-09-02,2025-11-30,234.87637885977958,355.94847223468213,0.9363932809213275,9.656974735871449,9.014603788292657,2,20000.0,33.0,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 300}",,,,
focused_tabular,extratrees_tuned,potato,15,2307,2025-09-02,2025-11-30,234.11110172533432,356.22218353524147,0.9362954208492094,9.35927739630083,8.985232294280554,3,20000.0,33.0,"{""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",,,,
focused_tabular,extratrees_tuned,potato,15,2307,2025-09-02,2025-11-30,236.5166341754003,358.6544354811997,0.9354225130359346,9.803578112094772,9.077557125080896,4,20000.0,33.0,"{""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 300}",,,,
focused_tabular,xgboost_tuned,tomato,1,29374,2025-10-03,2025-12-31,259.2492848639912,457.58782079424225,0.8932800734475699,8.090196058080181,8.17666739200445,1,20000.0,33.0,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 4, ""n_estimators"": 250, ""subsample"": 0.85}",,,,
focused_tabular,xgboost_tuned,tomato,1,29374,2025-10-03,2025-12-31,256.6088890733959,450.77145127424706,0.8964358582738616,8.032297132847683,8.093389869467511,2,20000.0,33.0,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.04, ""max_depth"": 6, ""min_child_weight"": 6, ""n_estimators"": 350, ""subsample"": 0.9}",,,,
focused_tabular,lightgbm_tuned,tomato,1,29374,2025-10-03,2025-12-31,259.35084664041193,479.92516716655723,0.8826066073277696,8.09429410935785,8.179870628865716,1,20000.0,33.0,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 40, ""n_estimators"": 250, ""num_leaves"": 31, ""subsample"": 0.9}",,,,
focused_tabular,lightgbm_tuned,tomato,1,29374,2025-10-03,2025-12-31,257.84362010392255,457.9756662063463,0.8930990879703581,8.04640548154517,8.132333023970327,2,20000.0,33.0,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 8, ""min_child_samples"": 30, ""n_estimators"": 350, ""num_leaves"": 47, ""subsample"": 0.85}",,,,
focused_tabular,extratrees_tuned,tomato,1,29374,2025-10-03,2025-12-31,269.2634265773533,458.9937974309549,0.8926232542292359,8.616255791202727,8.492511295101488,1,20000.0,33.0,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",,,,
focused_tabular,extratrees_tuned,tomato,1,29374,2025-10-03,2025-12-31,278.57775579683226,471.8071377674637,0.8865444833139439,8.88918535883479,8.786283260749393,2,20000.0,33.0,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 300}",,,,
focused_tabular,extratrees_tuned,tomato,1,29374,2025-10-03,2025-12-31,268.5595940193585,452.2993681458713,0.8957325946729,8.619750012538569,8.470312565683946,3,20000.0,33.0,"{""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",,,,
focused_tabular,extratrees_tuned,tomato,1,29374,2025-10-03,2025-12-31,279.2628893489925,475.51244661710956,0.8847554536827523,8.902347463671992,8.80789222749372,4,20000.0,33.0,"{""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 300}",,,,
focused_tabular,xgboost_tuned,tomato,15,24442,2025-10-03,2025-12-31,919.4920305876251,1304.8527783720592,0.18833891489691368,25.9674909107458,27.626759701988124,1,20000.0,33.0,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 4, ""n_estimators"": 250, ""subsample"": 0.85}",,,,
focused_tabular,xgboost_tuned,tomato,15,24442,2025-10-03,2025-12-31,932.2981390381349,1333.5042819001537,0.15230323816337243,26.430159631912243,28.011527888237364,2,20000.0,33.0,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.04, ""max_depth"": 6, ""min_child_weight"": 6, ""n_estimators"": 350, ""subsample"": 0.9}",,,,
focused_tabular,lightgbm_tuned,tomato,15,24442,2025-10-03,2025-12-31,901.4358141259225,1241.1626357802172,0.2656398851243911,25.9105817636404,27.084248471090618,1,20000.0,33.0,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 40, ""n_estimators"": 250, ""num_leaves"": 31, ""subsample"": 0.9}",,,,
focused_tabular,lightgbm_tuned,tomato,15,24442,2025-10-03,2025-12-31,896.4439148050614,1237.6339562858395,0.26980958502394425,25.844223800232648,26.93426348111108,2,20000.0,33.0,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 8, ""min_child_samples"": 30, ""n_estimators"": 350, ""num_leaves"": 47, ""subsample"": 0.85}",,,,
focused_tabular,extratrees_tuned,tomato,15,24442,2025-10-03,2025-12-31,825.5606478296846,1151.8958691755026,0.3674743570175185,24.196321650313987,24.80452780263095,1,20000.0,33.0,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",,,,
focused_tabular,extratrees_tuned,tomato,15,24442,2025-10-03,2025-12-31,832.4757884522878,1166.0615658602346,0.35182144694345974,24.273560328085413,25.01229787777127,2,20000.0,33.0,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 300}",,,,
focused_tabular,extratrees_tuned,tomato,15,24442,2025-10-03,2025-12-31,829.1850496299016,1158.1099890377002,0.36063139070010364,24.26194121027316,24.913425405075706,3,20000.0,33.0,"{""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",,,,
focused_tabular,extratrees_tuned,tomato,15,24442,2025-10-03,2025-12-31,830.7172272367688,1168.1950526745093,0.3494473947807416,24.09903938529665,24.95946071713669,4,20000.0,33.0,"{""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 300}",,,,
focused_tabular,xgboost_tuned,wheat,1,528,2025-09-02,2025-11-30,31.984605703700122,50.80338428239165,0.7896887113553418,1.2650700100524384,1.2609547830702663,1,20000.0,33.0,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 4, ""n_estimators"": 250, ""subsample"": 0.85}",,,,
focused_tabular,xgboost_tuned,wheat,1,528,2025-09-02,2025-11-30,32.177608654807145,50.84705302492926,0.7893270040881849,1.2722473462522987,1.268563693325393,2,20000.0,33.0,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.04, ""max_depth"": 6, ""min_child_weight"": 6, ""n_estimators"": 350, ""subsample"": 0.9}",,,,
focused_tabular,lightgbm_tuned,wheat,1,528,2025-09-02,2025-11-30,32.099257213993106,50.771940781777865,0.7899489647527954,1.2700776936274825,1.2654747815854719,1,20000.0,33.0,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 40, ""n_estimators"": 250, ""num_leaves"": 31, ""subsample"": 0.9}",,,,
focused_tabular,lightgbm_tuned,wheat,1,528,2025-09-02,2025-11-30,32.05047028597721,50.568717300117605,0.7916271307001335,1.2671294784500222,1.2635514153635201,2,20000.0,33.0,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 8, ""min_child_samples"": 30, ""n_estimators"": 350, ""num_leaves"": 47, ""subsample"": 0.85}",,,,
focused_tabular,extratrees_tuned,wheat,1,528,2025-09-02,2025-11-30,32.282807801598075,50.54389341959934,0.7918316584746932,1.2752351794336858,1.272711043727327,1,20000.0,33.0,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",,,,
focused_tabular,extratrees_tuned,wheat,1,528,2025-09-02,2025-11-30,32.764264002339196,50.910802579167225,0.7887984098860309,1.2944016666275164,1.291691877969505,2,20000.0,33.0,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 300}",,,,
focused_tabular,extratrees_tuned,wheat,1,528,2025-09-02,2025-11-30,32.41940978629935,50.34262547705582,0.7934862280746438,1.2818154818468996,1.2780964134136583,3,20000.0,33.0,"{""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",,,,
focused_tabular,extratrees_tuned,wheat,1,528,2025-09-02,2025-11-30,33.04015646368749,50.87844307874716,0.7890668089523464,1.3058846346706452,1.30256860791806,4,20000.0,33.0,"{""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 300}",,,,
focused_tabular,xgboost_tuned,wheat,15,288,2025-09-02,2025-11-30,46.43401864344821,68.7810662143444,0.6321230422817479,1.8602299272369758,1.8346756888226425,1,20000.0,33.0,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 4, ""n_estimators"": 250, ""subsample"": 0.85}",,,,
focused_tabular,xgboost_tuned,wheat,15,288,2025-09-02,2025-11-30,46.38007855284492,67.80704141868064,0.6424684516322736,1.8556119494476362,1.8325444373011524,2,20000.0,33.0,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.04, ""max_depth"": 6, ""min_child_weight"": 6, ""n_estimators"": 350, ""subsample"": 0.9}",,,,
focused_tabular,lightgbm_tuned,wheat,15,288,2025-09-02,2025-11-30,46.93954214371366,68.16942613090808,0.6386366907328924,1.8773125112122178,1.854649658407039,1,20000.0,33.0,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 40, ""n_estimators"": 250, ""num_leaves"": 31, ""subsample"": 0.9}",,,,
focused_tabular,lightgbm_tuned,wheat,15,288,2025-09-02,2025-11-30,46.290414648127516,69.47406173670015,0.6246726960499793,1.8515269192981034,1.8290016858668405,2,20000.0,33.0,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 8, ""min_child_samples"": 30, ""n_estimators"": 350, ""num_leaves"": 47, ""subsample"": 0.85}",,,,
focused_tabular,extratrees_tuned,wheat,15,288,2025-09-02,2025-11-30,42.99350112154775,64.50540232458297,0.6764384141543155,1.7203341279466957,1.6987358318210615,1,20000.0,33.0,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",,,,
focused_tabular,extratrees_tuned,wheat,15,288,2025-09-02,2025-11-30,43.57522417978591,65.426962661533,0.6671272089697904,1.7457242956994086,1.7217205568945546,2,20000.0,33.0,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 300}",,,,
focused_tabular,extratrees_tuned,wheat,15,288,2025-09-02,2025-11-30,44.14466313404503,65.48287428156662,0.6665580427237046,1.765739170216192,1.744219919133046,3,20000.0,33.0,"{""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",,,,
focused_tabular,extratrees_tuned,wheat,15,288,2025-09-02,2025-11-30,43.58235557926036,65.54833206353784,0.6658910811651996,1.7466198033434632,1.722002328871766,4,20000.0,33.0,"{""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 300}",,,,
focused_temporal,tcn_tuned,onion,1,8678,2025-10-03,2025-12-31,149.83993530273438,226.166593742312,0.94826740026474,5.928153991699219,5.608213901519775,1,,,"{""batch_size"": 128, ""dropout"": 0.15, ""epochs"": 8, ""hidden_channels"": 32, ""kernel_size"": 3, ""learning_rate"": 0.001, ""weight_decay"": 1e-05, ""window_size"": 21}",cpu,15000.0,8678.0,log_delta_current
focused_temporal,tcn_tuned,onion,1,8678,2025-10-03,2025-12-31,142.3452606201172,224.51088329689054,0.9490220546722412,5.807985305786133,5.327702522277832,2,,,"{""batch_size"": 128, ""dropout"": 0.2, ""epochs"": 10, ""hidden_channels"": 48, ""kernel_size"": 3, ""learning_rate"": 0.0007, ""weight_decay"": 1e-05, ""window_size"": 28}",cpu,15000.0,8678.0,log_delta_current
focused_temporal,tcn_tuned,onion,15,4974,2025-10-03,2025-12-31,559.172607421875,691.5408520109279,0.5391212701797485,19.06730079650879,19.555587768554688,1,,,"{""batch_size"": 128, ""dropout"": 0.15, ""epochs"": 8, ""hidden_channels"": 32, ""kernel_size"": 3, ""learning_rate"": 0.001, ""weight_decay"": 1e-05, ""window_size"": 21}",cpu,15000.0,4974.0,log_delta_current
focused_temporal,tcn_tuned,onion,15,4974,2025-10-03,2025-12-31,617.7276611328125,762.8467654122943,0.4391772747039795,21.00399398803711,21.603397369384766,2,,,"{""batch_size"": 128, ""dropout"": 0.2, ""epochs"": 10, ""hidden_channels"": 48, ""kernel_size"": 3, ""learning_rate"": 0.0007, ""weight_decay"": 1e-05, ""window_size"": 28}",cpu,15000.0,4974.0,log_delta_current
focused_temporal,tcn_tuned,potato,1,4113,2025-09-02,2025-11-30,143.22097778320312,266.80029692168637,0.9658956527709961,4.839319229125977,5.455399513244629,1,,,"{""batch_size"": 128, ""dropout"": 0.15, ""epochs"": 8, ""hidden_channels"": 32, ""kernel_size"": 3, ""learning_rate"": 0.001, ""weight_decay"": 1e-05, ""window_size"": 21}",cpu,15000.0,4113.0,log_delta_current
focused_temporal,tcn_tuned,potato,1,4113,2025-09-02,2025-11-30,134.80543518066406,265.6826996155376,0.9661807417869568,4.710855484008789,5.134844779968262,2,,,"{""batch_size"": 128, ""dropout"": 0.2, ""epochs"": 10, ""hidden_channels"": 48, ""kernel_size"": 3, ""learning_rate"": 0.0007, ""weight_decay"": 1e-05, ""window_size"": 28}",cpu,15000.0,4113.0,log_delta_current
focused_temporal,tcn_tuned,potato,15,2307,2025-09-02,2025-11-30,238.08590698242188,363.83478393358706,0.9335435628890991,9.671333312988281,9.137785911560059,1,,,"{""batch_size"": 128, ""dropout"": 0.15, ""epochs"": 8, ""hidden_channels"": 32, ""kernel_size"": 3, ""learning_rate"": 0.001, ""weight_decay"": 1e-05, ""window_size"": 21}",cpu,15000.0,2307.0,log_delta_current
