experiment_family,experiment_name,crop,horizon_days,validation_rows,validation_start,validation_end,mae,rmse,r2,mape_pct,wape_pct,train_rows,target_mode,normalization_mode
tabular_variant,histgb_cross_crop_delta_current_mean_center,potato,15,2307,2025-09-02,2025-11-30,237.35270146370243,368.2245035299112,0.9319302589062178,9.304300056913126,9.109645559775707,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,tomato,1,29374,2025-10-03,2025-12-31,263.5381757981143,451.4056917596202,0.8961442214330898,8.310027044133705,8.311938101303824,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,tomato,2,28999,2025-10-03,2025-12-31,337.0894027474702,544.6393185006352,0.8496367503028142,10.403234529142022,10.598932281138614,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,tomato,3,28633,2025-10-03,2025-12-31,408.8447766163712,651.5762458501835,0.785948055949673,12.34776191414715,12.816161792555317,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,tomato,4,28270,2025-10-03,2025-12-31,462.93716468632255,704.7615934856768,0.7509477574072344,13.862845843897778,14.468088626928507,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,tomato,5,27912,2025-10-03,2025-12-31,516.0986942457573,787.2701597169316,0.6908832641415892,15.112940740779058,16.079189027366468,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,tomato,6,27557,2025-10-03,2025-12-31,539.4249981732111,822.3512585265942,0.6645203098936672,15.768916677642043,16.751710071414504,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,tomato,7,27206,2025-10-03,2025-12-31,585.3055413562872,873.863689697648,0.6229980162134837,16.880264962819258,18.11600770139145,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,tomato,8,26858,2025-10-03,2025-12-31,639.4532115156696,954.9068865104999,0.5518039733108511,18.540772472997062,19.72376133602887,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,tomato,9,26510,2025-10-03,2025-12-31,704.3021670855603,1050.3283559082913,0.46027665745238044,19.821754224560355,21.64788944484561,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,tomato,10,26162,2025-10-03,2025-12-31,751.2667030991828,1105.1430767569825,0.4047054180440164,21.001001445222688,23.00956336419996,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,tomato,11,25816,2025-10-03,2025-12-31,764.5873849393672,1124.7005884211,0.38639807473153676,21.485677042477974,23.331319438809118,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,tomato,12,25471,2025-10-03,2025-12-31,766.1536132523353,1139.8905617396244,0.37315908279963605,21.13126191846243,23.290135239055655,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,tomato,13,25127,2025-10-03,2025-12-31,813.5236137406805,1177.5400697092025,0.33350489053511045,22.580727561119275,24.635022348115115,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,tomato,14,24783,2025-10-03,2025-12-31,830.1799261042538,1208.9231635077701,0.3002859277879426,22.6868255876144,25.041852309081687,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,tomato,15,24442,2025-10-03,2025-12-31,870.2720506281025,1264.6293245535203,0.2376082442805637,23.673672635044923,26.147912127845046,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,wheat,1,528,2025-09-02,2025-11-30,36.13605545475538,55.04976876915337,0.7530617904906397,1.425974707973217,1.4246207187633053,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,wheat,2,496,2025-09-02,2025-11-30,35.654421112275486,53.70636952488612,0.7693937093506857,1.4112229488513637,1.4063751843912045,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,wheat,3,480,2025-09-02,2025-11-30,41.575419519405486,61.94628165162427,0.6952807847353688,1.6460181831724536,1.640132938852834,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,wheat,4,464,2025-09-02,2025-11-30,44.71311861976108,63.01690735368128,0.6859247854316927,1.7700029034405806,1.7642617091822737,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,wheat,5,448,2025-09-02,2025-11-30,39.00884482399591,57.977522079935106,0.7356552715986207,1.5448200040013325,1.539028739501682,10000,delta_current,series_mean_center
