experiment_family,experiment_name,crop,horizon_days,validation_rows,validation_start,validation_end,mae,rmse,r2,mape_pct,wape_pct,threshold_km,train_rows
graph_model,graph_histgb_augmented,onion,15,4974,2025-10-03,2025-12-31,438.86331192481157,556.6536682797157,0.7013784395452475,15.375192066528129,15.348088033981771,75.0,10000
graph_model,graph_histgb_augmented,onion,15,4974,2025-10-03,2025-12-31,444.4197661099322,563.5843507756116,0.6938961015689651,15.515626833442436,15.542410379169352,150.0,10000
graph_model,graph_histgb_augmented,onion,15,4974,2025-10-03,2025-12-31,456.8344348695739,575.3011250769318,0.6810361560554246,15.967477656503457,15.976580709334359,300.0,10000
graph_model,graph_histgb_augmented,potato,15,2307,2025-09-02,2025-11-30,240.07505018513908,371.61641895486696,0.9306704284804976,9.393451868269132,9.214129864312635,75.0,10000
graph_model,graph_histgb_augmented,potato,15,2307,2025-09-02,2025-11-30,237.74317438391583,370.62790474188574,0.9310387766629269,9.26535071717234,9.124631990862857,150.0,10000
graph_model,graph_histgb_augmented,potato,15,2307,2025-09-02,2025-11-30,238.45844773464245,370.278868558166,0.9311686029822777,9.255908197880345,9.15208432935865,300.0,10000
graph_model,graph_histgb_augmented,tomato,15,24442,2025-10-03,2025-12-31,863.2720068417817,1253.1354956574091,0.25140355808076054,23.503132208544425,25.93759107975016,75.0,10000
graph_model,graph_histgb_augmented,tomato,15,24442,2025-10-03,2025-12-31,867.400269863518,1255.8987093469675,0.2480985483015239,23.55251534048781,26.061627533242017,150.0,10000
graph_model,graph_histgb_augmented,tomato,15,24442,2025-10-03,2025-12-31,860.9047055611082,1248.602180221484,0.25680997337697076,23.351277685819703,25.866463912305786,300.0,10000
graph_model,graph_histgb_augmented,wheat,15,288,2025-09-02,2025-11-30,43.210970340913086,66.77427646334543,0.6532765937879024,1.7338968855258663,1.7073283573334554,75.0,10000
graph_model,graph_histgb_augmented,wheat,15,288,2025-09-02,2025-11-30,42.88520727801873,66.95478018880425,0.6513995399487236,1.7222620085590705,1.6944569843773911,150.0,10000
graph_model,graph_histgb_augmented,wheat,15,288,2025-09-02,2025-11-30,44.88010011131554,69.61664137795428,0.623130568134197,1.8035058115873126,1.7732781049691708,300.0,10000
