experiment_family,experiment_name,crop,horizon_days,validation_rows,validation_start,validation_end,mae,rmse,r2,mape_pct,wape_pct,source_file,train_rows,target_mode,normalization_mode,threshold_km,alpha,graph_mode,correction_scale,best_alpha,train_windows,validation_windows,sweep,config_name,display_name,graph_bucket
tabular_variant,histgb_delta_current_mean_center,wheat,15,288.0,2025-09-02,2025-11-30,44.55225187951401,67.30390043071604,0.6477546687703071,1.7874927283534747,1.760324343953385,anchored_histgb_metrics/anchored_histgb_metrics.csv,10000.0,delta_current,series_mean_center,,,,,,,,,,histgb_delta_current_mean_center,non_graph
tabular_variant,histgb_cross_crop_delta_current_mean_center,onion,15,4974.0,2025-10-03,2025-12-31,432.3012293956226,550.8767976178602,0.7075443801322037,15.20934192495768,15.118596487052232,cross_crop_histgb_metrics/cross_crop_histgb_metrics.csv,10000.0,delta_current,series_mean_center,,,,,,,,,,histgb_cross_crop_delta_current_mean_center,non_graph
tabular_variant,histgb_cross_crop_delta_current_mean_center,potato,15,2307.0,2025-09-02,2025-11-30,237.35270146370243,368.2245035299112,0.9319302589062178,9.304300056913126,9.109645559775707,cross_crop_histgb_metrics/cross_crop_histgb_metrics.csv,10000.0,delta_current,series_mean_center,,,,,,,,,,histgb_cross_crop_delta_current_mean_center,non_graph
tabular_variant,histgb_cross_crop_delta_current_mean_center,tomato,15,24442.0,2025-10-03,2025-12-31,870.2720506281025,1264.6293245535203,0.2376082442805637,23.673672635044923,26.147912127845046,cross_crop_histgb_metrics/cross_crop_histgb_metrics.csv,10000.0,delta_current,series_mean_center,,,,,,,,,,histgb_cross_crop_delta_current_mean_center,non_graph
tabular_variant,histgb_cross_crop_delta_current_mean_center,wheat,15,288.0,2025-09-02,2025-11-30,42.274182660308085,66.14018760593963,0.6598303026517476,1.698012008860271,1.6703145120233631,cross_crop_histgb_metrics/cross_crop_histgb_metrics.csv,10000.0,delta_current,series_mean_center,,,,,,,,,,histgb_cross_crop_delta_current_mean_center,non_graph
specialized_variant,density_bucket_histgb,onion,15,4974.0,2025-10-03,2025-12-31,456.3287591263325,576.6051405076981,0.6795885483673574,15.921344837193589,15.958896032549966,density_variant_metrics/density_variant_metrics.csv,10000.0,,,,,,,,,,,,density_bucket_histgb,non_graph
specialized_variant,density_bucket_histgb,potato,15,2307.0,2025-09-02,2025-11-30,237.82537515191856,368.8317156151244,0.9317055761463484,9.276852570065612,9.12778687326625,density_variant_metrics/density_variant_metrics.csv,10000.0,,,,,,,,,,,,density_bucket_histgb,non_graph
specialized_variant,density_bucket_histgb,tomato,15,24442.0,2025-10-03,2025-12-31,867.620697371954,1255.2458255572103,0.248880102843171,23.60021732483639,26.06825042675788,density_variant_metrics/density_variant_metrics.csv,10000.0,,,,,,,,,,,,density_bucket_histgb,non_graph
specialized_variant,density_bucket_histgb,wheat,15,288.0,2025-09-02,2025-11-30,44.37957170580509,67.67444984050256,0.64386533673858,1.7809044877986846,1.7535014988518636,density_variant_metrics/density_variant_metrics.csv,10000.0,,,,,,,,,,,,density_bucket_histgb,non_graph
specialized_variant,volume_cluster_histgb,onion,15,4974.0,2025-10-03,2025-12-31,442.8962807355156,559.658766547789,0.6981455158786982,15.583442933479011,15.489130492221236,volume_variant_metrics/volume_variant_metrics.csv,10000.0,,,,,,,,,,,,volume_cluster_histgb,non_graph
specialized_variant,volume_cluster_histgb,potato,15,2307.0,2025-09-02,2025-11-30,238.42869188662004,370.705783155798,0.9310097925801012,9.318656067479113,9.150942293783984,volume_variant_metrics/volume_variant_metrics.csv,10000.0,,,,,,,,,,,,volume_cluster_histgb,non_graph
specialized_variant,volume_cluster_histgb,tomato,15,24442.0,2025-10-03,2025-12-31,864.1007906269464,1254.1852024730958,0.2501488878377811,23.470180411094027,25.962492448893094,volume_variant_metrics/volume_variant_metrics.csv,10000.0,,,,,,,,,,,,volume_cluster_histgb,non_graph
specialized_variant,volume_cluster_histgb,wheat,15,288.0,2025-09-02,2025-11-30,43.3410402293937,66.72862251534472,0.6537505451927808,1.7381204526045817,1.712467608021096,volume_variant_metrics/volume_variant_metrics.csv,10000.0,,,,,,,,,,,,volume_cluster_histgb,non_graph
graph_model,graph_neighbor_blend,onion,15,4974.0,2025-10-03,2025-12-31,480.0101056884403,601.076792435737,0.6518143003597365,17.08844031075805,16.78708873383627,graph_neighbor_blend_metrics/graph_neighbor_blend_metrics.csv,,,,75.0,0.9,,,,,,,,graph_neighbor_blend,graph
graph_model,graph_neighbor_blend,onion,15,4974.0,2025-10-03,2025-12-31,490.1521027859528,612.8978333667446,0.63798448632735,17.40156735962766,17.141778360568335,graph_neighbor_blend_metrics/graph_neighbor_blend_metrics.csv,,,,150.0,0.9,,,,,,,,graph_neighbor_blend,graph
graph_model,graph_neighbor_blend,onion,15,4974.0,2025-10-03,2025-12-31,499.17728400645063,620.5133052820732,0.6289322538932655,17.67058576275695,17.45741029454638,graph_neighbor_blend_metrics/graph_neighbor_blend_metrics.csv,,,,300.0,0.9,,,,,,,,graph_neighbor_blend,graph
