crop,horizon_days,target_mode,graph_mode,correction_scale,best_alpha,train_windows,validation_windows,validation_start,validation_end,mae,rmse,r2,wape_pct,sweep,config_name
tomato,15,delta_current,full_graph,0.25,0.15000000000000002,758,75,2025-10-03,2025-12-31,851.0122680664062,1221.6551784362066,0.28854262828826904,25.569238662719727,edge_weights,edge_weights__state_cluster_heavy
tomato,15,delta_current,corr_only,0.25,0.25,758,75,2025-10-03,2025-12-31,853.1669921875,1211.397436847214,0.30044007301330566,25.633981704711914,graph_mode,graph_mode__corr_only
tomato,15,delta_current,geo_only,0.25,0.25,758,75,2025-10-03,2025-12-31,851.9284057617188,1215.491618646546,0.2957034111022949,25.596765518188477,graph_mode,graph_mode__geo_only
tomato,15,delta_current,shuffled_graph,0.25,0.1,758,75,2025-10-03,2025-12-31,849.7664794921875,1223.6422577698108,0.2862262725830078,25.531810760498047,graph_mode,graph_mode__shuffled_graph
tomato,15,delta_current,temporal_only,0.25,0.25,758,75,2025-10-03,2025-12-31,849.6576538085938,1207.4471520526272,0.304995059967041,25.52853775024414,graph_mode,graph_mode__temporal_only
tomato,15,delta_current,full_graph,0.25,0.15000000000000002,758,75,2025-10-03,2025-12-31,850.96044921875,1221.5657984734182,0.2886466979980469,25.567684173583984,k_neighbors,k_neighbors__k14
tomato,15,delta_current,full_graph,0.25,0.15000000000000002,758,75,2025-10-03,2025-12-31,850.875244140625,1221.4272900995786,0.2888079881668091,25.56512451171875,k_neighbors,k_neighbors__k18
tomato,15,delta_current,full_graph,0.25,0.15000000000000002,758,75,2025-10-03,2025-12-31,851.0531616210938,1221.6918085180075,0.28849995136260986,25.570470809936523,k_neighbors,k_neighbors__k6
tomato,15,delta_current,full_graph,0.25,0.30000000000000004,758,75,2025-10-03,2025-12-31,843.8936157226562,1204.0865832655059,0.30885839462280273,25.355356216430664,reference,full_graph_delta_current_default
tomato,15,delta_roll28,full_graph,0.25,0.0,758,75,2025-10-03,2025-12-31,772.5399780273438,1141.2792164934924,0.37908029556274414,23.21148681640625,target_mode,target_mode__delta_roll28
tomato,15,delta_roll7,full_graph,0.25,0.05,758,75,2025-10-03,2025-12-31,823.6384887695312,1188.0300922114725,0.32716816663742065,24.746776580810547,target_mode,target_mode__delta_roll7
wheat,15,delta_current,full_graph,0.25,0.25,786,18,2025-09-02,2025-11-30,39.604713439941406,65.24324977057013,0.6689936518669128,1.5648398399353027,edge_weights,edge_weights__corr_heavy
wheat,15,delta_current,full_graph,0.25,0.25,786,18,2025-09-02,2025-11-30,39.61481475830078,65.25298574347,0.6688948273658752,1.5652388334274292,edge_weights,edge_weights__geo_heavy
wheat,15,delta_current,full_graph,0.25,0.25,786,18,2025-09-02,2025-11-30,39.61170959472656,65.2432797066104,0.6689932942390442,1.565116286277771,edge_weights,edge_weights__state_cluster_heavy
wheat,15,delta_current,corr_only,0.25,0.25,786,18,2025-09-02,2025-11-30,39.59811782836914,65.25088301605581,0.6689161062240601,1.5645792484283447,graph_mode,graph_mode__corr_only
wheat,15,delta_current,geo_only,0.25,0.25,786,18,2025-09-02,2025-11-30,39.59642028808594,65.25462073557512,0.6688782572746277,1.564512014389038,graph_mode,graph_mode__geo_only
wheat,15,delta_current,shuffled_graph,0.25,0.25,786,18,2025-09-02,2025-11-30,39.61355972290039,65.25289969011914,0.6688957214355469,1.565189242362976,graph_mode,graph_mode__shuffled_graph
wheat,15,delta_current,temporal_only,0.25,0.25,786,18,2025-09-02,2025-11-30,39.53057861328125,65.22955259121436,0.6691325902938843,1.561910629272461,graph_mode,graph_mode__temporal_only
wheat,15,delta_current,full_graph,0.25,0.25,786,18,2025-09-02,2025-11-30,39.61277389526367,65.24801691191465,0.6689452528953552,1.5651581287384033,k_neighbors,k_neighbors__k14
wheat,15,delta_current,full_graph,0.25,0.25,786,18,2025-09-02,2025-11-30,39.598297119140625,65.2415808145963,0.6690105199813843,1.5645864009857178,k_neighbors,k_neighbors__k18
wheat,15,delta_current,full_graph,0.25,0.25,786,18,2025-09-02,2025-11-30,39.60865783691406,65.24564835225603,0.6689692735671997,1.564995527267456,k_neighbors,k_neighbors__k6
wheat,15,delta_current,full_graph,0.25,0.9500000000000001,786,18,2025-09-02,2025-11-30,39.05100631713867,61.84733440850543,0.7025546431541443,1.5429619550704956,reference,full_graph_delta_current_default
wheat,15,delta_roll28,full_graph,0.25,0.4,786,18,2025-09-02,2025-11-30,55.31039047241211,77.47127113687047,0.5332906246185303,2.185393810272217,target_mode,target_mode__delta_roll28
wheat,15,delta_roll7,full_graph,0.25,0.0,786,18,2025-09-02,2025-11-30,40.9202995300293,65.50364523492185,0.6663461923599243,1.6168204545974731,target_mode,target_mode__delta_roll7
