crop,other_crop,daily_national_price_corr
onion,potato,0.6780824588550861
onion,tomato,0.1418884023138391
onion,wheat,0.7640747932170533
potato,onion,0.678082458855086
potato,tomato,0.21744438700970362
potato,wheat,0.5985589779322009
tomato,onion,0.1418884023138391
tomato,potato,0.21744438700970362
tomato,wheat,-0.01870637693717347
wheat,onion,0.7640747932170534
wheat,potato,0.5985589779322008
wheat,tomato,-0.01870637693717347
