experiment_family,experiment_name,crop,horizon_days,validation_rows,validation_start,validation_end,mae,rmse,r2,mape_pct,wape_pct,train_rows
simple_model,numeric_histgb_simple,onion,1,8678,2025-10-03,2025-12-31,165.5447386830132,245.10640030393455,0.9392401688230637,6.781568233412082,6.196012879265479,20000
simple_model,numeric_histgb_simple,onion,2,8412,2025-10-03,2025-12-31,209.92162180806642,301.18399386545354,0.9085598537490811,8.389661113794107,7.8336891324423075,20000
simple_model,numeric_histgb_simple,onion,3,8146,2025-10-03,2025-12-31,254.47633180160494,354.41074995528066,0.8738876684665008,9.840226646779424,9.466832803072712,20000
simple_model,numeric_histgb_simple,onion,4,7880,2025-10-03,2025-12-31,328.0262715261145,446.58746385532504,0.8005467042240476,12.109761163929669,12.159455300658063,20000
simple_model,numeric_histgb_simple,onion,5,7615,2025-10-03,2025-12-31,387.5237758045542,508.4403307345332,0.7424076800798769,14.261600960169208,14.313678506918034,20000
simple_model,numeric_histgb_simple,onion,6,7350,2025-10-03,2025-12-31,435.45867970969476,572.6348206713903,0.6744398321487819,15.912587582963845,16.02093246394806,20000
simple_model,numeric_histgb_simple,onion,7,7085,2025-10-03,2025-12-31,496.0705804449573,646.2128387697237,0.5869247391995891,17.46194316495472,18.17024285200417,20000
simple_model,numeric_histgb_simple,onion,8,6821,2025-10-03,2025-12-31,572.6975903530982,730.6481159343012,0.4734314825491768,20.283305721085863,20.883192587798,20000
simple_model,numeric_histgb_simple,onion,9,6557,2025-10-03,2025-12-31,593.7763668080066,754.8626184399311,0.438968686994067,20.553399971844314,21.548481107214073,20000
simple_model,numeric_histgb_simple,onion,10,6293,2025-10-03,2025-12-31,635.9973074435644,809.7029706749091,0.3568372881033106,22.231632314048646,22.95760352967501,20000
simple_model,numeric_histgb_simple,onion,11,6030,2025-10-03,2025-12-31,715.4945532741201,902.8546411821621,0.2019304620093475,24.274502792604142,25.685683092109635,20000
simple_model,numeric_histgb_simple,onion,12,5766,2025-10-03,2025-12-31,778.0065284390681,965.086472733487,0.09088949223664711,26.170460747319314,27.758985667812926,20000
simple_model,numeric_histgb_simple,onion,13,5502,2025-10-03,2025-12-31,793.3970356717407,971.2437745668285,0.0818636354547605,26.690388563230893,28.126057935179567,20000
simple_model,numeric_histgb_simple,onion,14,5238,2025-10-03,2025-12-31,871.766800706355,1079.3088501964046,-0.12916845003675825,28.021636221112146,30.69292569247768,20000
simple_model,numeric_histgb_simple,onion,15,4974,2025-10-03,2025-12-31,841.6380864259127,1045.5341624943928,-0.05348283905748863,27.359712991464452,29.434074556293666,20000
simple_model,numeric_histgb_simple,potato,1,4113,2025-09-02,2025-11-30,146.60718377382943,308.6860238917159,0.9543468056380069,4.863070180156435,5.584382777389363,20000
simple_model,numeric_histgb_simple,potato,2,3984,2025-09-02,2025-11-30,160.3978229434469,314.87893925931905,0.9522381779355092,5.324402325110372,6.115299159146241,20000
simple_model,numeric_histgb_simple,potato,3,3855,2025-09-02,2025-11-30,180.3921044624322,362.0874836147935,0.9365715482364132,5.967040891356815,6.882913949165964,20000
simple_model,numeric_histgb_simple,potato,4,3726,2025-09-02,2025-11-30,196.489482483702,354.0998786991711,0.9389177292676331,6.668410371675096,7.506360517016758,20000
simple_model,numeric_histgb_simple,potato,5,3597,2025-09-02,2025-11-30,219.13135157609997,419.2558630987079,0.9137241729760297,7.503437288142332,8.381211151170834,20000
simple_model,numeric_histgb_simple,potato,6,3468,2025-09-02,2025-11-30,216.34252811700253,386.86353762743227,0.9260393769043156,7.6508913602562,8.283028437839697,20000
simple_model,numeric_histgb_simple,potato,7,3339,2025-09-02,2025-11-30,215.80498219085902,382.22037491932537,0.9272599721220558,7.9028764554135895,8.271616686075996,20000
simple_model,numeric_histgb_simple,potato,8,3210,2025-09-02,2025-11-30,213.16119299499468,368.52101672572934,0.9319451242373992,7.941781286410525,8.17971007713054,20000
simple_model,numeric_histgb_simple,potato,9,3081,2025-09-02,2025-11-30,230.7563243246028,403.7888310719893,0.9177834956206503,8.497959704271887,8.866800239397904,20000
simple_model,numeric_histgb_simple,potato,10,2952,2025-09-02,2025-11-30,248.24704708364607,420.94579452127715,0.9109594446316042,9.437309799500222,9.52747986267016,20000
simple_model,numeric_histgb_simple,potato,11,2823,2025-09-02,2025-11-30,265.88896668036705,493.80611159122833,0.87759406834814,9.615466807741589,10.203589067666178,20000
simple_model,numeric_histgb_simple,potato,12,2694,2025-09-02,2025-11-30,243.15468079410186,421.84190207058185,0.9107193170136155,9.260130470659703,9.330817849875727,20000
simple_model,numeric_histgb_simple,potato,13,2565,2025-09-02,2025-11-30,261.257356819959,462.24187098459197,0.8926346521894102,9.777635111530323,10.031049680986156,20000
simple_model,numeric_histgb_simple,potato,14,2436,2025-09-02,2025-11-30,231.78552703392643,353.6710258714866,0.9371223071924397,9.38998761907747,8.900433228329847,20000
simple_model,numeric_histgb_simple,potato,15,2307,2025-09-02,2025-11-30,258.01347740754466,442.46797382986864,0.9017138301136767,10.031287667074508,9.9026103951354,20000
simple_model,numeric_histgb_simple,tomato,1,29374,2025-10-03,2025-12-31,258.36275338193576,450.4966865961841,0.8965620734344257,8.12229366594618,8.148706377318868,20000
simple_model,numeric_histgb_simple,tomato,2,28999,2025-10-03,2025-12-31,328.42132862737884,561.8042946960926,0.8400096341060267,10.221691059604284,10.32638639313998,20000
simple_model,numeric_histgb_simple,tomato,3,28633,2025-10-03,2025-12-31,394.27839698008387,625.8517703854184,0.8025161158151332,12.123000679704719,12.359545764106915,20000
simple_model,numeric_histgb_simple,tomato,4,28270,2025-10-03,2025-12-31,442.506428160325,677.0487094927846,0.7701493012973034,13.40257917736126,13.829570639348384,20000
simple_model,numeric_histgb_simple,tomato,5,27912,2025-10-03,2025-12-31,507.93071524392985,747.6242443420718,0.7212327885732558,15.379526109503615,15.824713517534224,20000
simple_model,numeric_histgb_simple,tomato,6,27557,2025-10-03,2025-12-31,556.3220572397387,811.1204593851593,0.673620988763507,16.727942991182257,17.276444066873772,20000
simple_model,numeric_histgb_simple,tomato,7,27206,2025-10-03,2025-12-31,599.0019863391069,870.189048902855,0.6261619745263978,17.584531103911154,18.539931422010056,20000
simple_model,numeric_histgb_simple,tomato,8,26858,2025-10-03,2025-12-31,660.7149265947421,939.4868220152226,0.5661622521896289,19.471673907911743,20.37957318631308,20000
simple_model,numeric_histgb_simple,tomato,9,26510,2025-10-03,2025-12-31,695.7068470910743,989.0091736597767,0.521456236803494,20.247332597648445,21.383698099597208,20000
simple_model,numeric_histgb_simple,tomato,10,26162,2025-10-03,2025-12-31,761.3898028542818,1063.7785772473267,0.4484341167597964,22.23894949015006,23.31961052095025,20000
simple_model,numeric_histgb_simple,tomato,11,25816,2025-10-03,2025-12-31,784.7097543004586,1096.2438666097203,0.4170554827795737,22.895532599525442,23.945351839391506,20000
simple_model,numeric_histgb_simple,tomato,12,25471,2025-10-03,2025-12-31,806.0250817953468,1142.6132915624573,0.37016097606714515,23.08090325978859,24.502179244962665,20000
simple_model,numeric_histgb_simple,tomato,13,25127,2025-10-03,2025-12-31,845.2037803810368,1171.517749802742,0.34030479962435023,24.385223957080015,25.594357270906876,20000
simple_model,numeric_histgb_simple,tomato,14,24783,2025-10-03,2025-12-31,869.8614822957774,1197.6543383604142,0.3132697243755108,24.989134860119684,26.23882134952301,20000
simple_model,numeric_histgb_simple,tomato,15,24442,2025-10-03,2025-12-31,900.0911938212836,1241.935144419371,0.2647254585016309,25.63895747701947,27.043848444977357,20000
simple_model,numeric_histgb_simple,wheat,1,528,2025-09-02,2025-11-30,32.20690983778691,51.094581546796896,0.7872708571942144,1.2744657111490663,1.269718857380571,20000
simple_model,numeric_histgb_simple,wheat,2,496,2025-09-02,2025-11-30,32.00386200405669,51.24600769100675,0.7900385160197181,1.2644986635101518,1.2623802581298833,20000
simple_model,numeric_histgb_simple,wheat,3,480,2025-09-02,2025-11-30,34.72347441818817,54.10871709331951,0.7675102397407956,1.3714574858569826,1.3698265658654873,20000
simple_model,numeric_histgb_simple,wheat,4,464,2025-09-02,2025-11-30,37.178545626099556,55.6035466974983,0.7554743162533267,1.4692678683410823,1.4669673347773309,20000
simple_model,numeric_histgb_simple,wheat,5,448,2025-09-02,2025-11-30,39.83574266396634,58.82598924123678,0.7278615966081379,1.5724838572738975,1.5716526109874513,20000
simple_model,numeric_histgb_simple,wheat,6,432,2025-09-02,2025-11-30,41.7210797353616,59.24168398607692,0.7258181366758975,1.6445246923439485,1.6463986786471037,20000
simple_model,numeric_histgb_simple,wheat,7,416,2025-09-02,2025-11-30,45.28329230933757,62.749160697132645,0.6974470725203346,1.7889661325652177,1.787374146269057,20000
simple_model,numeric_histgb_simple,wheat,8,400,2025-09-02,2025-11-30,42.64316255174819,62.29926235133037,0.7072277762105288,1.685410358166193,1.6832923601967615,20000
simple_model,numeric_histgb_simple,wheat,9,384,2025-09-02,2025-11-30,43.2946660109263,63.09038415360559,0.7043838220226505,1.7172140127717295,1.7090881474177304,20000
simple_model,numeric_histgb_simple,wheat,10,368,2025-09-02,2025-11-30,52.483311402992584,71.52933694911493,0.6216316100349732,2.091788042484414,2.0723972128595443,20000
simple_model,numeric_histgb_simple,wheat,11,352,2025-09-02,2025-11-30,52.74000458015567,72.85020928603343,0.6066751203458544,2.1038209671116905,2.0827517507312496,20000
simple_model,numeric_histgb_simple,wheat,12,336,2025-09-02,2025-11-30,51.247477914137626,73.31610022455605,0.5932891187560652,2.0415830665029535,2.0243343947653147,20000
simple_model,numeric_histgb_simple,wheat,13,320,2025-09-02,2025-11-30,45.96398487896887,66.77213319065967,0.6528718909181497,1.829377467655724,1.8155696936185055,20000
simple_model,numeric_histgb_simple,wheat,14,304,2025-09-02,2025-11-30,47.78280296521442,69.38714358386073,0.6246217129980076,1.9125423196035816,1.8881876775084423,20000
simple_model,numeric_histgb_simple,wheat,15,288,2025-09-02,2025-11-30,46.72668984079599,67.87782929361519,0.6417215643253869,1.870540638960384,1.846239553986149,20000
